prime,index,p2p
3433,480,402
3449,481,404
3457,482,406
3461,483,406
3463,484,405
3467,485,404
3469,486,403
3491,487,409
3499,488,411
3511,489,413
3517,490,413
3527,491,414
3529,492,414
3533,493,413
3539,494,413
3541,495,413
3547,496,412
3557,497,413
3559,498,412
3571,499,414
3581,500,415
3583,501,414
3593,502,414
3607,503,418
3613,504,418
3617,505,418
3623,506,419
3631,507,420
3637,508,419
3643,509,419
3659,510,421
3671,511,423
3673,512,422
3677,513,423
3691,514,423
3697,515,423
3701,516,422
3709,517,423
3719,518,423
3727,519,423
3733,520,424
3739,521,424
3761,522,429
3767,523,430
3769,524,430
3779,525,432
3793,526,436
3797,527,437
3803,528,437
3821,529,439
3823,530,439
3833,531,439
3847,532,443
3851,533,443
3853,534,443
3863,535,444
3877,536,446
3881,537,447
3889,538,446
3907,539,447
3911,540,447
3917,541,448
3919,542,447
3923,543,447
3929,544,447
3931,545,446
3943,546,450
3947,547,449
3967,548,453
3989,549,456
4001,550,456
4003,551,455
4007,552,456
4013,553,456
4019,554,455
4021,555,455
4027,556,455
4049,557,460
4051,558,460
4057,559,460
4073,560,461
4079,561,461
4091,562,464
4093,563,463
4099,564,463
4111,565,465
4127,566,468
4129,567,467
4133,568,467
4139,569,468
4153,570,471
4157,571,471
4159,572,471
4177,573,472
4201,574,476
4211,575,476
4217,576,478
4219,577,477
4229,578,478
4231,579,478
4241,580,478
4243,581,477
4253,582,477
4259,583,477
4261,584,477
4271,585,479
4273,586,479
4283,587,479
4289,588,479
4297,589,479
4327,590,486
4337,591,487
4339,592,487
4349,593,489
4357,594,491
4363,595,491
4373,596,493
4391,597,496
4397,598,496
4409,599,497
4421,600,501
4423,601,500
4441,602,503
4447,603,504
4451,604,503
4457,605,502
4463,606,502
4481,607,505
4483,608,505
4493,609,506
4507,610,510
4513,611,509
4517,612,509
4519,613,508
4523,614,509
4547,615,512
4549,616,511
4561,617,512
4567,618,513
4583,619,516
4591,620,517
4597,621,517
4603,622,518
4621,623,522
4637,624,522
4639,625,522
4643,626,523
4649,627,523
4651,628,522
4657,629,522
4663,630,523
4673,631,525
4679,632,525
4691,633,526
4703,634,528
4721,635,534
4723,636,533
4729,637,532
4733,638,533
4751,639,537
4759,640,537
4783,641,541
4787,642,540
4789,643,539
4793,644,538
4799,645,538
4801,646,538
4813,647,540
4817,648,541
4831,649,543
4861,650,548
4871,651,549
4877,652,550
4889,653,551
4903,654,554
4909,655,555
4919,656,556
4931,657,559
4933,658,558
4937,659,558
4943,660,558
4951,661,559
4957,662,559
4967,663,561
4969,664,560
4973,665,560
4987,666,562
4993,667,561
4999,668,560
5003,669,559
5009,670,560
5011,671,559
5021,672,560
5023,673,559
5039,674,561
5051,675,564
5059,676,565
5077,677,568
5081,678,568
5087,679,569
5099,680,571
5101,681,570
5107,682,570
5113,683,570
5119,684,569
5147,685,576
5153,686,577
5167,687,580
5171,688,580
5179,689,581
5189,690,581
5197,691,581
5209,692,581
5227,693,584
5231,694,585
5233,695,585
5237,696,584
5261,697,588
5273,698,589
5279,699,588
5281,700,588
5297,701,589
5303,702,590
5309,703,591
5323,704,593
5333,705,595
5347,706,597
5351,707,596
5381,708,602
5387,709,602
5393,710,602
5399,711,602
5407,712,602
5413,713,601
5417,714,601
5419,715,601
5431,716,604
5437,717,604
5441,718,603
5443,719,603
5449,720,604
5471,721,607
5477,722,607
5479,723,607
5483,724,606
5501,725,609
5503,726,609
5507,727,608
5519,728,608
5521,729,607
5527,730,607
5531,731,608
5557,732,613
5563,733,614
5569,734,614
5573,735,613
5581,736,615
5591,737,617
5623,738,620
5639,739,623
5641,740,623
5647,741,623
5651,742,623
5653,743,622
5657,744,622
5659,745,622
5669,746,623
5683,747,624
5689,748,624
5693,749,624
5701,750,625
5711,751,625
5717,752,625
5737,753,629
5741,754,628
5743,755,628
5749,756,630
5779,757,634
5783,758,633
5791,759,633
5801,760,635
5807,761,634
5813,762,635
5821,763,635
5827,764,634
5839,765,635
5843,766,635
5849,767,635
5851,768,636
5857,769,635
5861,770,636
5867,771,636
5869,772,635
5879,773,635
5881,774,634
5897,775,637
5903,776,637
5923,777,643
5927,778,642
5939,779,643
5953,780,645
5981,781,652
5987,782,653
6007,783,656
6011,784,655
6029,785,658
6037,786,659
6043,787,658
6047,788,657
6053,789,658
6067,790,661
6073,791,661
6079,792,662
6089,793,663
6091,794,662
6101,795,662
6113,796,663
6121,797,665
6131,798,666
6133,799,666
6143,800,668
6151,801,669
6163,802,669
6173,803,670
6197,804,674
6199,805,673
6203,806,673
6211,807,675
6217,808,675
6221,809,675
6229,810,676
6247,811,679
6257,812,681
6263,813,681
6269,814,681
6271,815,682
6277,816,683
6287,817,683
6299,818,685
